timestamp,date,hour,day_of_week,is_weekend,gpu_id,gpu_model,tdp_watts,user,user_role,job_id,job_type,gpu_util,mem_util,power_draw,temperature,node,partition
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-a100-01,A100-80GB,400,idle,none,,idle,4.0,4.7,60.0,34.7,node-a100,gpu-a100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-a100-02,A100-80GB,400,phd_lee,PhD,10000.0,llm_training,100.0,77.9,400.0,102.3,node-a100,gpu-a100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-a100-03,A100-80GB,400,idle,none,,idle,2.1,6.1,60.0,30.1,node-a100,gpu-a100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-a100-04,A100-80GB,400,idle,none,,idle,2.1,5.5,60.0,25.7,node-a100,gpu-a100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-v100-01,V100-32GB,300,idle,none,,idle,0.0,3.9,45.0,27.0,node-v100,gpu-v100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-v100-02,V100-32GB,300,idle,none,,idle,3.6,3.2,45.0,28.3,node-v100,gpu-v100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-v100-03,V100-32GB,300,idle,none,,idle,5.9,4.5,45.0,34.4,node-v100,gpu-v100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-v100-04,V100-32GB,300,phd_choi,PhD,10000.0,llm_training,70.8,43.8,229.8,80.7,node-v100,gpu-v100
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-rtx-01,RTX3090,350,idle,none,,idle,1.8,4.4,52.5,29.5,node-rtx,gpu-rtx
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-rtx-02,RTX3090,350,prof_kim,PI,10000.0,cv_training,93.5,69.6,331.9,91.8,node-rtx,gpu-rtx
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-rtx-03,RTX3090,350,idle,none,,idle,3.4,1.1,52.5,28.4,node-rtx,gpu-rtx
2024-01-01 00:00:00,2024-01-01,0,0,False,gpu-rtx-04,RTX3090,350,idle,none,,idle,3.4,6.5,52.5,32.9,node-rtx,gpu-rtx
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-a100-01,A100-80GB,400,prof_kim,PI,10000.0,llm_training,83.8,57.2,348.3,84.3,node-a100,gpu-a100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-a100-02,A100-80GB,400,ms_han,Masters,10000.0,cv_training,67.8,49.2,297.0,72.2,node-a100,gpu-a100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-a100-03,A100-80GB,400,idle,none,,idle,3.6,4.2,60.0,30.5,node-a100,gpu-a100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-a100-04,A100-80GB,400,idle,none,,idle,4.2,7.1,60.0,35.8,node-a100,gpu-a100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-v100-01,V100-32GB,300,idle,none,,idle,1.3,4.4,45.0,31.9,node-v100,gpu-v100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-v100-02,V100-32GB,300,idle,none,,idle,5.0,4.0,45.0,32.9,node-v100,gpu-v100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-v100-03,V100-32GB,300,idle,none,,idle,0.8,2.6,45.0,33.0,node-v100,gpu-v100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-v100-04,V100-32GB,300,undergrad_oh,Undergrad,10000.0,cv_training,88.6,63.8,272.5,90.1,node-v100,gpu-v100
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-rtx-01,RTX3090,350,idle,none,,idle,3.7,8.1,52.5,32.5,node-rtx,gpu-rtx
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-rtx-02,RTX3090,350,idle,none,,idle,6.1,0.0,52.5,36.8,node-rtx,gpu-rtx
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-rtx-03,RTX3090,350,idle,none,,idle,3.2,4.4,52.5,32.5,node-rtx,gpu-rtx
2024-01-01 01:00:00,2024-01-01,1,0,False,gpu-rtx-04,RTX3090,350,idle,none,,idle,0.0,4.6,52.5,31.1,node-rtx,gpu-rtx
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-a100-01,A100-80GB,400,idle,none,,idle,6.0,4.0,60.0,31.7,node-a100,gpu-a100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-a100-02,A100-80GB,400,idle,none,,idle,2.0,6.8,60.0,32.4,node-a100,gpu-a100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-a100-03,A100-80GB,400,ms_han,Masters,10000.0,llm_training,86.0,65.0,355.1,88.1,node-a100,gpu-a100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-a100-04,A100-80GB,400,phd_lee,PhD,10000.0,cv_training,71.7,51.7,309.5,81.0,node-a100,gpu-a100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-v100-01,V100-32GB,300,idle,none,,idle,3.0,4.5,45.0,27.9,node-v100,gpu-v100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-v100-02,V100-32GB,300,idle,none,,idle,2.2,4.3,45.0,29.1,node-v100,gpu-v100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-v100-03,V100-32GB,300,idle,none,,idle,2.7,5.8,45.0,37.5,node-v100,gpu-v100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-v100-04,V100-32GB,300,idle,none,,idle,3.3,5.5,45.0,32.1,node-v100,gpu-v100
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-rtx-01,RTX3090,350,idle,none,,idle,0.0,4.9,52.5,30.2,node-rtx,gpu-rtx
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-rtx-02,RTX3090,350,idle,none,,idle,7.9,4.6,52.5,36.5,node-rtx,gpu-rtx
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-rtx-03,RTX3090,350,idle,none,,idle,2.9,2.7,52.5,35.5,node-rtx,gpu-rtx
2024-01-01 02:00:00,2024-01-01,2,0,False,gpu-rtx-04,RTX3090,350,idle,none,,idle,4.5,6.6,52.5,30.4,node-rtx,gpu-rtx
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-a100-01,A100-80GB,400,idle,none,,idle,5.8,2.2,60.0,35.8,node-a100,gpu-a100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-a100-02,A100-80GB,400,idle,none,,idle,7.4,3.0,60.0,33.5,node-a100,gpu-a100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-a100-03,A100-80GB,400,idle,none,,idle,3.2,4.0,60.0,27.6,node-a100,gpu-a100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-a100-04,A100-80GB,400,idle,none,,idle,3.1,2.9,60.0,33.6,node-a100,gpu-a100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-v100-01,V100-32GB,300,idle,none,,idle,1.2,8.1,45.0,28.5,node-v100,gpu-v100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-v100-02,V100-32GB,300,undergrad_lim,Undergrad,10000.0,inference_test,11.8,12.3,88.3,34.6,node-v100,gpu-v100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-v100-03,V100-32GB,300,idle,none,,idle,3.5,7.6,45.0,27.6,node-v100,gpu-v100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-v100-04,V100-32GB,300,idle,none,,idle,3.4,5.5,45.0,34.7,node-v100,gpu-v100
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-rtx-01,RTX3090,350,phd_lee,PhD,10000.0,cv_training,80.2,57.6,294.6,86.9,node-rtx,gpu-rtx
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-rtx-02,RTX3090,350,idle,none,,idle,3.7,3.6,52.5,33.3,node-rtx,gpu-rtx
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-rtx-03,RTX3090,350,phd_lee,PhD,10000.0,inference_test,17.9,9.0,120.2,48.1,node-rtx,gpu-rtx
2024-01-01 03:00:00,2024-01-01,3,0,False,gpu-rtx-04,RTX3090,350,idle,none,,idle,3.9,2.6,52.5,34.7,node-rtx,gpu-rtx
2024-01-01 04:00:00,2024-01-01,4,0,False,gpu-a100-01,A100-80GB,400,idle,none,,idle,1.1,6.6,60.0,34.2,node-a100,gpu-a100
2024-01-01 04:00:00,2024-01-01,4,0,False,gpu-a100-02,A100-80GB,400,idle,none,,idle,1.4,6.9,60.0,32.2,node-a100,gpu-a100
2024-01-01 04:00:00,2024-01-01,4,0,False,gpu-a100-03,A100-80GB,400,idle,none,,idle,4.6,8.8,60.0,32.5,node-a100,gpu-a100
2024-01-01 04:00:00,2024-01-01,4,0,False,gpu-a100-04,A100-80GB,400,phd_lee,PhD,10000.0,llm_training,77.5,53.8,327.9,85.2,node-a100,gpu-a100
2024-01-01 04:00:00,2024-01-01,4,0,False,gpu-v100-01,V100-32GB,300,idle,none,,idle,3.6,6.7,45.0,32.5,node-v100,gpu-v100
