timestamp,gpu_id,gpu_util_pct,power_watt,job_type,cost_per_hr
2024-01-01 00:00:00,gpu-01,26.2,261.1,inference,3.2
2024-01-01 00:00:00,gpu-02,19.7,237.3,inference,3.2
2024-01-01 00:00:00,gpu-03,16.7,219.9,inference,3.2
2024-01-01 00:00:00,gpu-04,36.2,340.3,inference,3.2
2024-01-01 00:00:00,gpu-05,15.6,204.8,inference,3.2
2024-01-01 00:00:00,gpu-06,20.5,233.7,inference,3.2
2024-01-01 00:00:00,gpu-07,24.1,233.8,inference,3.2
2024-01-01 00:00:00,gpu-08,23.7,267.2,inference,3.2
2024-01-01 01:00:00,gpu-01,7.3,158.3,idle,2.1
2024-01-01 01:00:00,gpu-02,4.4,138.1,idle,2.1
2024-01-01 01:00:00,gpu-03,5.5,145.4,idle,2.1
2024-01-01 01:00:00,gpu-04,6.2,161.8,idle,2.1
2024-01-01 01:00:00,gpu-05,7.1,162.5,idle,2.1
2024-01-01 01:00:00,gpu-06,2.0,126.7,idle,2.1
2024-01-01 01:00:00,gpu-07,0.8,118.5,idle,2.1
2024-01-01 01:00:00,gpu-08,1.2,136.3,idle,2.1
2024-01-01 02:00:00,gpu-01,8.2,157.4,idle,2.1
2024-01-01 02:00:00,gpu-02,5.9,152.8,idle,2.1
2024-01-01 02:00:00,gpu-03,0.4,120.1,idle,2.1
2024-01-01 02:00:00,gpu-04,8.0,170.0,idle,2.1
2024-01-01 02:00:00,gpu-05,3.7,169.5,idle,2.1
2024-01-01 02:00:00,gpu-06,2.2,144.8,idle,2.1
2024-01-01 02:00:00,gpu-07,11.6,189.7,inference,2.1
2024-01-01 02:00:00,gpu-08,11.1,193.0,inference,2.1
2024-01-01 03:00:00,gpu-01,1.1,116.1,idle,2.1
2024-01-01 03:00:00,gpu-02,3.3,123.1,idle,2.1
2024-01-01 03:00:00,gpu-03,9.9,164.2,idle,2.1
2024-01-01 03:00:00,gpu-04,6.5,149.0,idle,2.1
2024-01-01 03:00:00,gpu-05,1.7,135.6,idle,2.1
