timestamp,gpu_id,gpu_model,gpu_util_pct,memory_util_pct,power_watt,temp_celsius,cost_per_hr,job_type,datacenter_region,hourly_cost
2024-01-01 00:00:00,gpu-a100-01,A100,9.8,6.6,92.3,36.5,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-02,A100,55.5,42.0,254.8,59.5,2.1,inference,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-03,A100,2.4,6.9,60.9,29.5,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-04,A100,3.4,5.0,65.7,35.3,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-05,A100,12.0,6.2,103.8,40.6,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-06,A100,3.1,5.0,65.5,33.6,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-07,A100,2.0,18.3,69.9,36.0,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-a100-08,A100,2.0,5.0,73.9,29.1,2.1,idle,us-east-1,2.1
2024-01-01 00:00:00,gpu-v100-01,V100,9.6,5.0,65.3,37.4,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-02,V100,7.8,5.2,72.1,34.5,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-03,V100,2.0,8.7,58.9,30.8,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-04,V100,6.6,11.3,64.2,37.4,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-05,V100,5.9,5.0,62.8,34.9,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-06,V100,2.0,5.0,58.4,29.3,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-07,V100,2.0,5.0,56.0,35.9,1.43,idle,us-east-1,1.43
2024-01-01 00:00:00,gpu-v100-08,V100,2.0,9.9,52.6,33.5,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-a100-01,A100,4.5,11.4,80.8,33.6,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-02,A100,2.0,5.0,69.6,32.6,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-03,A100,6.9,5.5,67.3,31.4,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-04,A100,2.0,5.0,58.9,33.0,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-05,A100,5.0,6.1,74.8,34.6,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-06,A100,4.5,5.0,66.2,37.8,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-07,A100,5.2,5.0,88.7,37.0,2.1,idle,us-east-1,2.1
2024-01-01 01:00:00,gpu-a100-08,A100,36.0,23.1,189.4,51.9,2.1,inference,us-east-1,2.1
2024-01-01 01:00:00,gpu-v100-01,V100,2.0,5.0,62.5,32.2,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-02,V100,9.0,5.0,58.1,37.1,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-03,V100,5.5,7.7,65.4,35.6,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-04,V100,4.5,5.4,59.3,32.6,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-05,V100,7.0,5.0,66.7,37.6,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-06,V100,4.4,8.6,49.7,39.0,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-07,V100,2.0,5.0,44.1,33.9,1.43,idle,us-east-1,1.43
2024-01-01 01:00:00,gpu-v100-08,V100,2.0,5.0,56.7,39.8,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-a100-01,A100,10.7,5.0,89.4,38.8,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-02,A100,43.4,32.9,213.3,56.5,2.1,inference,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-03,A100,11.6,13.8,96.8,38.3,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-04,A100,9.8,14.4,107.4,37.2,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-05,A100,6.3,10.6,89.9,33.8,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-06,A100,3.2,11.2,72.8,33.7,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-07,A100,5.0,5.0,84.7,30.8,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-a100-08,A100,2.0,5.0,60.0,33.9,2.1,idle,us-east-1,2.1
2024-01-01 02:00:00,gpu-v100-01,V100,3.2,5.0,53.8,32.8,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-02,V100,12.7,24.7,78.4,43.2,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-03,V100,10.4,14.8,78.1,35.8,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-04,V100,2.0,5.0,36.7,37.2,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-05,V100,2.0,7.3,47.6,36.2,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-06,V100,2.1,5.0,63.5,29.9,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-07,V100,2.0,5.0,65.1,32.8,1.43,idle,us-east-1,1.43
2024-01-01 02:00:00,gpu-v100-08,V100,2.0,5.0,39.7,31.9,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-a100-01,A100,6.9,5.0,102.4,35.8,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-02,A100,10.3,5.0,96.0,42.6,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-03,A100,9.6,5.0,93.1,37.5,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-04,A100,47.6,41.2,218.1,55.0,2.1,inference,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-05,A100,6.4,5.0,84.2,33.9,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-06,A100,4.5,11.3,80.1,32.9,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-07,A100,2.6,7.1,67.2,35.4,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-a100-08,A100,4.6,5.7,75.7,34.0,2.1,idle,us-east-1,2.1
2024-01-01 03:00:00,gpu-v100-01,V100,6.0,5.0,65.0,32.1,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-02,V100,10.7,8.7,78.6,35.3,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-03,V100,4.7,5.0,51.7,33.7,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-04,V100,5.1,5.6,53.5,33.4,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-05,V100,2.0,5.0,52.0,29.5,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-06,V100,2.0,6.8,48.4,32.6,1.43,idle,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-07,V100,31.4,33.4,117.0,50.2,1.43,inference,us-east-1,1.43
2024-01-01 03:00:00,gpu-v100-08,V100,2.0,5.0,50.8,34.2,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-a100-01,A100,7.0,8.6,91.7,35.8,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-02,A100,20.4,24.0,132.7,47.2,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-03,A100,5.0,5.0,85.0,31.2,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-04,A100,12.2,5.0,87.0,39.2,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-05,A100,5.3,8.8,85.7,38.4,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-06,A100,4.3,5.0,73.7,33.6,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-07,A100,2.0,5.0,58.0,33.7,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-a100-08,A100,2.0,5.0,59.6,33.8,2.1,idle,us-east-1,2.1
2024-01-01 04:00:00,gpu-v100-01,V100,13.7,9.3,82.4,35.1,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-02,V100,2.0,5.0,54.4,32.3,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-03,V100,5.5,5.5,75.3,37.7,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-04,V100,7.3,14.9,64.9,38.0,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-05,V100,29.0,16.7,116.2,42.0,1.43,inference,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-06,V100,2.0,11.4,55.8,29.6,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-07,V100,2.0,5.0,49.7,32.8,1.43,idle,us-east-1,1.43
2024-01-01 04:00:00,gpu-v100-08,V100,2.0,5.0,55.5,30.7,1.43,idle,us-east-1,1.43
2024-01-01 05:00:00,gpu-a100-01,A100,3.2,5.0,62.4,34.9,2.1,idle,us-east-1,2.1
2024-01-01 05:00:00,gpu-a100-02,A100,2.9,5.0,63.6,30.9,2.1,idle,us-east-1,2.1
2024-01-01 05:00:00,gpu-a100-03,A100,2.5,5.0,59.0,33.9,2.1,idle,us-east-1,2.1
2024-01-01 05:00:00,gpu-a100-04,A100,5.3,5.0,76.3,33.3,2.1,idle,us-east-1,2.1
2024-01-01 05:00:00,gpu-a100-05,A100,2.4,11.9,49.9,32.6,2.1,idle,us-east-1,2.1
2024-01-01 05:00:00,gpu-a100-06,A100,4.0,5.0,76.0,31.7,2.1,idle,us-east-1,2.1
